send_offset_ms,latency_ms,status_code
1,57,202
205,12,202
403,15,202
604,12,202
805,15,202
1002,9,202
1203,6,202
1405,6,202
1605,10,202
1806,5,202
2005,11,202
2205,10,202
2403,12,202
2603,12,202
2806,9,202
3005,13,202
3206,9,202
3405,8,202
3606,11,202
3801,14,202
4006,12,202
4205,11,202
4403,14,202
4605,10,202
4805,13,202
5004,11,202
5204,12,202
5403,12,202
5605,12,202
5806,8,202
6001,7,202
6205,6,202
6405,8,202
6606,13,202
6800,6,202
7006,10,202
7205,13,202
7405,11,202
7605,17,202
7804,16,202
8006,15,202
8205,16,202
8405,14,202
8606,13,202
8804,14,202
9002,7,202
9206,10,202
9402,10,202
9603,13,202
9805,9,202
10005,9,202
10206,12,202
10404,13,202
10600,12,202
10805,14,202
11005,10,202
11206,6,202
11403,8,202
11605,12,202
11805,6,202
12005,12,202
12206,7,202
12400,7,202
12603,10,202
12806,15,202
13002,11,202
13206,8,202
13403,9,202
13602,12,202
13802,11,202
14002,10,202
14205,11,202
14405,12,202
14606,12,202
14804,12,202
15002,11,202
15202,10,202
15406,11,202
15605,15,202
15802,13,202
16006,6,202
16205,6,202
16404,10,202
16600,12,202
16803,6,202
17005,8,202
17205,10,202
17404,8,202
17601,11,202
17805,9,202
18006,11,202
18202,14,202
18406,12,202
18605,12,202
18805,9,202
19004,12,202
19205,12,202
19403,16,202
19606,11,202
19805,12,202
20005,12,202
20203,11,202
20405,8,202
20605,10,202
20801,13,202
21002,7,202
21203,6,202
21403,6,202
21605,10,202
21805,6,202
22005,10,202
22206,11,202
22405,11,202
22605,10,202
22804,8,202
23000,9,202
23204,9,202
23405,7,202
23601,9,202
23802,12,202
24003,16,202
24202,14,202
24405,10,202
24606,15,202
24805,13,202
25006,15,202
25202,9,202
25406,8,202
25605,8,202
25805,10,202
26005,6,202
26205,6,202
26404,5,202
26605,11,202
26806,7,202
27005,11,202
27205,15,202
27406,12,202
27605,11,202
27802,12,202
28002,11,202
28205,10,202
28405,9,202
28605,8,202
28800,7,202
29005,8,202
29201,9,202
29403,9,202
29602,10,202
29806,9,202
30005,9,202
30205,11,202
30403,12,202
